#cell,        row,        col,           rocid,       slot,         ch,        bin,    txfiber,       txch,    rxrocid,    rxfiber,       rxch, global bin
(45,          3,         10, SBS_ECALVTP1_ROCID,          5,         13,          7,         -1,         -1,                 -1,         -1,         -1,          7),
(46,          3,         11, SBS_ECALVTP1_ROCID,          5,         14,          7,         -1,         -1,                 -1,         -1,         -1,          7),
(47,          3,         12, SBS_ECALVTP1_ROCID,          5,         15,          7,         -1,         -1,                 -1,         -1,         -1,          7),
(48,          3,         13, SBS_ECALVTP1_ROCID,          6,          0,          8,         -1,         -1,                 -1,         -1,         -1,          8),
(49,          3,         14, SBS_ECALVTP1_ROCID,          6,          1,          8,         -1,         -1,                 -1,         -1,         -1,          8),
(50,          3,         15, SBS_ECALVTP1_ROCID,          6,          2,          8,         -1,         -1,                 -1,         -1,         -1,          8),
(51,          3,         16, SBS_ECALVTP1_ROCID,          6,          3,          9,         -1,         -1,                 -1,         -1,         -1,          9),
(52,          3,         17, SBS_ECALVTP1_ROCID,          6,          4,          9,         -1,         -1,                 -1,         -1,         -1,          9),
(53,          3,         18, SBS_ECALVTP1_ROCID,          6,          5,          9,         -1,         -1,                 -1,         -1,         -1,          9),
(54,          4,          1, SBS_ECALVTP1_ROCID,          6,          6,          4,         -1,         -1,                 -1,         -1,         -1,          4),
(55,          4,          2, SBS_ECALVTP1_ROCID,          6,          7,          4,         -1,         -1,                 -1,         -1,         -1,          4),
(56,          4,          3, SBS_ECALVTP1_ROCID,          6,          8,          4,         -1,         -1,                 -1,         -1,         -1,          4),
(57,          4,          4, SBS_ECALVTP1_ROCID,          6,          9,          5,         -1,         -1,                 -1,         -1,         -1,          5),
(58,          4,          5, SBS_ECALVTP1_ROCID,          6,         10,          5,         -1,         -1,                 -1,         -1,         -1,          5),
(59,          4,          6, SBS_ECALVTP1_ROCID,          6,         11,          5,         -1,         -1,                 -1,         -1,         -1,          5),
(60,          4,          7, SBS_ECALVTP1_ROCID,          6,         12,          6,         -1,         -1,                 -1,         -1,         -1,          6),
(61,          4,          8, SBS_ECALVTP1_ROCID,          6,         13,          6,         -1,         -1,                 -1,         -1,         -1,          6),
(62,          4,          9, SBS_ECALVTP1_ROCID,          6,         14,          6,         -1,         -1,                 -1,         -1,         -1,          6),
(63,          4,         10, SBS_ECALVTP1_ROCID,          6,         15,          7,         -1,         -1,                 -1,         -1,         -1,          7),
(64,          4,         11, SBS_ECALVTP1_ROCID,          7,          0,          7,         -1,         -1,                 -1,         -1,         -1,          7),
(65,          4,         12, SBS_ECALVTP1_ROCID,          7,          1,          7,         -1,         -1,                 -1,         -1,         -1,          7),
(66,          4,         13, SBS_ECALVTP1_ROCID,          7,          2,          8,         -1,         -1,                 -1,         -1,         -1,          8),
(67,          4,         14, SBS_ECALVTP1_ROCID,          7,          3,          8,         -1,         -1,                 -1,         -1,         -1,          8),
(68,          4,         15, SBS_ECALVTP1_ROCID,          7,          4,          8,         -1,         -1,                 -1,         -1,         -1,          8),
(69,          4,         16, SBS_ECALVTP1_ROCID,          7,          5,          9,         -1,         -1,                 -1,         -1,         -1,          9),
(70,          4,         17, SBS_ECALVTP1_ROCID,          7,          6,          9,         -1,         -1,                 -1,         -1,         -1,          9),
