# ECalBin GEMLayer xMin xMax yMin yMax
21 2 -0.1 0.25 -0.85 -0.65
21 3 -0.15 0.2 -0.85 -0.7
21 4 -0.15 0.2 -0.85 -0.75
21 5 -0.15 0.2 -0.85 -0.7
21 6 -0.15 0.2 -1.05 -0.8
21 7 -0.15 0.2 -1.1 -0.85
22 0 -0.1 0.25 -0.8 -0.55
22 1 -0.1 0.25 -0.85 -0.55
22 2 -0.1 0.25 -0.85 -0.6
22 3 -0.1 0.25 -0.85 -0.6
22 4 -0.1 0.25 -0.85 -0.6
22 5 -0.1 0.25 -0.85 -0.7
22 6 -0.15 0.3 -1.05 -0.7
22 7 -0.1 0.3 -1.1 -0.75
23 0 -0.1 0.25 -0.75 -0.5
23 1 -0.05 0.25 -0.8 -0.55
23 2 -0.05 0.25 -0.85 -0.55
23 3 -0.1 0.25 -0.85 -0.6
23 4 -0.05 0.25 -0.85 -0.6
23 5 -0.1 0.25 -0.85 -0.55
23 6 -0.05 0.3 -0.95 -0.65
23 7 -0.1 0.3 -1 -0.7
24 0 -0.05 0.25 -0.7 -0.45
24 1 -0.05 0.25 -0.75 -0.5
24 2 0 0.25 -0.8 -0.5
24 3 0 0.25 -0.8 -0.55
24 4 0 0.25 -0.85 -0.55
24 5 0 0.25 -0.85 -0.6
24 6 0 0.3 -0.9 -0.65
24 7 -0.05 0.35 -0.95 -0.6
25 0 0.05 0.25 -0.7 -0.4
25 1 0 0.25 -0.7 -0.45
25 2 0 0.25 -0.75 -0.5
25 3 0 0.25 -0.75 -0.5
25 4 0 0.25 -0.8 -0.5
25 5 0.05 0.25 -0.85 -0.6
25 6 0.05 0.3 -0.85 -0.6
25 7 0.05 0.35 -0.9 -0.6
26 0 0.05 0.25 -0.65 -0.4
26 1 0.05 0.25 -0.7 -0.4
26 2 0.05 0.25 -0.7 -0.45
26 3 0.05 0.25 -0.75 -0.45
26 4 0.05 0.25 -0.75 -0.5
26 5 0.05 0.25 -0.8 -0.5
26 6 0.05 0.35 -0.85 -0.5
26 7 0.1 0.35 -0.9 -0.55
27 0 nan nan nan nan
27 1 nan nan nan nan
27 2 nan nan nan nan
27 3 nan nan nan nan
27 4 nan nan nan nan
27 5 nan nan nan nan
27 6 nan nan nan nan
27 7 nan nan nan nan
28 0 nan nan nan nan
28 1 nan nan nan nan
28 2 nan nan nan nan
28 3 nan nan nan nan
28 4 nan nan nan nan
28 5 nan nan nan nan
28 6 nan nan nan nan
28 7 nan nan nan nan
29 0 nan nan nan nan
29 1 nan nan nan nan
29 2 nan nan nan nan
29 3 nan nan nan nan
29 4 nan nan nan nan
29 5 nan nan nan nan
29 6 nan nan nan nan
29 7 nan nan nan nan
30 0 -0.25 0.1 -0.85 -0.6
30 1 -0.25 0.1 -0.85 -0.6
30 2 -0.25 0.1 -0.85 -0.7
30 3 -0.25 0.1 -0.85 -0.6
30 4 -0.2 0.1 -0.85 -0.7
30 5 -0.25 0.15 -0.85 -0.7
30 6 -0.3 0.1 -1.05 -0.85
30 7 -0.25 0.1 -1.1 -0.85
31 0 -0.2 0.15 -0.85 -0.55
31 1 -0.2 0.15 -0.85 -0.6
31 2 -0.25 0.15 -0.85 -0.6
31 3 -0.25 0.25 -0.85 -0.6
31 4 -0.25 0.15 -0.85 -0.65
31 5 -0.25 0.2 -0.85 -0.7
31 6 -0.25 0.15 -1.05 -0.7
31 7 -0.25 0.15 -1.1 -0.7
32 0 -0.2 0.2 -0.8 -0.5
32 1 -0.2 0.2 -0.85 -0.55
32 2 -0.2 0.2 -0.85 -0.6
32 3 -0.15 0.25 -0.85 -0.6
32 4 -0.2 0.25 -0.85 -0.6
32 5 -0.15 0.2 -0.85 -0.6
32 6 -0.2 0.2 -1 -0.75
32 7 -0.15 0.25 -1 -0.65
33 0 -0.1 0.2 -0.7 -0.45
33 1 -0.1 0.25 -0.75 -0.5
33 2 -0.15 0.2 -0.8 -0.55
33 3 -0.1 0.25 -0.85 -0.55
33 4 -0.15 0.25 -0.85 -0.6
33 5 -0.1 0.25 -0.85 -0.6
33 6 -0.1 0.25 -0.95 -0.65
33 7 -0.1 0.25 -0.95 -0.65
34 0 -0.1 0.25 -0.7 -0.45
34 1 -0.05 0.25 -0.7 -0.45
34 2 -0.15 0.25 -0.75 -0.5
34 3 -0.1 0.25 -0.75 -0.5
34 4 -0.1 0.25 -0.8 -0.55
34 5 -0.05 0.25 -0.8 -0.5
34 6 -0.1 0.3 -0.85 -0.55
34 7 -0.1 0.35 -0.9 -0.6
35 0 -0.05 0.25 -0.65 -0.4
35 1 0 0.25 -0.65 -0.35
35 2 -0.05 0.25 -0.7 -0.45
35 3 0 0.25 -0.7 -0.45
35 4 0 0.25 -0.75 -0.5
35 5 0 0.25 -0.8 -0.5
35 6 0 0.3 -0.8 -0.55
35 7 0 0.35 -0.85 -0.55
36 0 0 0.25 -0.6 -0.35
36 1 0 0.25 -0.65 -0.35
36 2 0 0.25 -0.65 -0.4
36 3 0.05 0.25 -0.7 -0.35
36 4 0.05 0.25 -0.7 -0.45
36 5 0.05 0.25 -0.75 -0.45
36 6 0.05 0.3 -0.75 -0.45
36 7 0 0.35 -0.8 -0.4
37 0 0.05 0.25 -0.6 -0.3
37 1 0.05 0.25 -0.6 -0.35
37 2 0.05 0.25 -0.65 -0.35
37 3 0.05 0.25 -0.7 -0.4
37 4 0.05 0.25 -0.7 -0.4
37 5 0.05 0.25 -0.7 -0.45
37 6 0.1 0.35 -0.75 -0.45
37 7 0.1 0.35 -0.75 -0.45
38 0 nan nan nan nan
38 1 nan nan nan nan
38 2 nan nan nan nan
38 3 nan nan nan nan
38 4 nan nan nan nan
38 5 nan nan nan nan
38 6 nan nan nan nan
38 7 nan nan nan nan
39 0 nan nan nan nan
