# ECalBin GEMLayer xMin xMax yMin yMax
85 3 -0.15 0.2 -0.5 -0.2
85 4 -0.15 0.2 -0.55 -0.25
85 5 -0.2 0.2 -0.55 -0.25
85 6 -0.2 0.2 -0.55 -0.3
85 7 -0.2 0.2 -0.6 -0.3
86 0 -0.1 0.25 -0.4 -0.15
86 1 -0.1 0.25 -0.45 -0.15
86 2 -0.1 0.25 -0.45 -0.2
86 3 -0.1 0.25 -0.45 -0.2
86 4 -0.1 0.25 -0.45 -0.2
86 5 -0.2 0.25 -0.5 -0.2
86 6 -0.1 0.3 -0.5 -0.2
86 7 -0.1 0.35 -0.55 -0.2
87 0 -0.05 0.25 -0.35 -0.15
87 1 -0.05 0.25 -0.4 -0.15
87 2 -0.05 0.25 -0.4 -0.2
87 3 -0.05 0.25 -0.45 -0.2
87 4 -0.05 0.25 -0.45 -0.2
87 5 -0.05 0.25 -0.45 -0.2
87 6 -0.05 0.3 -0.5 -0.25
87 7 -0.05 0.3 -0.5 -0.25
88 0 0 0.25 -0.35 -0.05
88 1 0 0.25 -0.4 -0.05
88 2 0 0.25 -0.4 -0.1
88 3 0 0.25 -0.4 -0.15
88 4 0 0.25 -0.45 -0.1
88 5 0 0.25 -0.5 -0.2
88 6 0 0.3 -0.45 -0.1
88 7 0 0.35 -0.5 -0.1
89 0 nan nan nan nan
89 1 nan nan nan nan
89 2 nan nan nan nan
89 3 nan nan nan nan
89 4 nan nan nan nan
89 5 nan nan nan nan
89 6 nan nan nan nan
89 7 nan nan nan nan
90 0 0.1 0.25 -0.35 -0.15
90 1 nan nan nan nan
90 2 nan nan nan nan
90 3 nan nan nan nan
90 4 nan nan nan nan
90 5 nan nan nan nan
90 6 nan nan nan nan
90 7 nan nan nan nan
91 0 -0.25 -0.05 -0.45 -0.2
91 1 -0.25 -0.1 -0.45 -0.15
91 2 -0.25 -0.05 -0.5 -0.2
91 3 -0.25 -0.1 -0.5 -0.25
91 4 -0.25 -0.1 -0.5 -0.2
91 5 -0.25 -0.1 -0.55 -0.3
91 6 -0.3 -0.1 -0.55 -0.25
91 7 -0.35 -0.05 -0.6 -0.3
92 0 -0.25 0 -0.45 -0.15
92 1 -0.25 0 -0.45 -0.15
92 2 -0.25 0 -0.5 -0.2
92 3 -0.25 0 -0.5 -0.2
92 4 -0.25 0 -0.55 -0.2
92 5 -0.25 0 -0.55 -0.25
92 6 -0.35 0.05 -0.55 -0.25
92 7 -0.3 0 -0.65 -0.25
93 0 -0.25 0.05 -0.4 -0.15
93 1 -0.25 0.1 -0.4 -0.15
93 2 -0.25 0.05 -0.45 -0.2
93 3 -0.25 0.1 -0.45 -0.2
93 4 -0.25 0.1 -0.5 -0.15
93 5 -0.25 0.1 -0.5 -0.2
93 6 -0.35 0.1 -0.55 -0.2
93 7 -0.3 0.05 -0.6 -0.25
94 0 -0.25 0.1 -0.4 -0.15
94 1 -0.25 0.15 -0.4 -0.15
94 2 -0.25 0.15 -0.4 -0.15
94 3 -0.25 0.1 -0.45 -0.2
94 4 -0.25 0.15 -0.45 -0.2
94 5 -0.25 0.15 -0.45 -0.2
94 6 -0.3 0.15 -0.55 -0.15
94 7 -0.25 0.15 -0.5 -0.25
95 0 -0.2 0.15 -0.35 -0.1
95 1 -0.2 0.2 -0.4 -0.15
95 2 -0.2 0.2 -0.4 -0.1
95 3 -0.2 0.2 -0.4 -0.15
95 4 -0.2 0.2 -0.45 -0.2
95 5 -0.2 0.2 -0.45 -0.15
95 6 -0.2 0.2 -0.45 -0.15
95 7 -0.25 0.2 -0.5 -0.2
96 0 -0.15 0.25 -0.35 -0.1
96 1 -0.15 0.25 -0.35 -0.15
96 2 -0.15 0.25 -0.4 -0.15
96 3 -0.15 0.25 -0.4 -0.15
96 4 -0.1 0.25 -0.45 -0.15
96 5 -0.15 0.25 -0.45 -0.2
96 6 -0.15 0.25 -0.45 -0.2
96 7 -0.1 0.25 -0.5 -0.15
97 0 -0.05 0.25 -0.3 -0.1
97 1 -0.05 0.25 -0.35 -0.1
97 2 -0.05 0.25 -0.35 -0.15
97 3 -0.05 0.25 -0.4 -0.15
97 4 -0.05 0.25 -0.4 -0.15
97 5 -0.05 0.25 -0.45 -0.15
97 6 -0.05 0.3 -0.45 -0.2
97 7 -0.05 0.35 -0.45 -0.15
98 0 -0.05 0.25 -0.3 -0.1
98 1 0 0.25 -0.35 -0.05
98 2 0 0.25 -0.35 -0.05
98 3 -0.05 0.25 -0.4 -0.05
98 4 0 0.25 -0.4 -0.1
98 5 0 0.25 -0.4 -0.15
98 6 0 0.35 -0.45 -0.05
98 7 0 0.35 -0.45 -0.15
99 0 nan nan nan nan
99 1 nan nan nan nan
99 2 nan nan nan nan
99 3 nan nan nan nan
99 4 nan nan nan nan
99 5 nan nan nan nan
99 6 nan nan nan nan
99 7 nan nan nan nan
100 0 -0.2 -0.05 0.45 0.65
100 1 0.1 0.25 -0.25 -0.05
100 2 0.1 0.25 -0.25 -0.05
100 3 0.1 0.25 -0.25 -0.05
100 4 nan nan nan nan
100 5 nan nan nan nan
100 6 0.15 0.3 -0.3 -0.1
100 7 0.15 0.3 -0.7 -0.5
101 0 -0.3 -0.05 -0.4 -0.1
101 1 -0.25 -0.05 -0.4 -0.1
101 2 -0.25 -0.05 -0.4 -0.1
101 3 -0.25 -0.05 -0.4 -0.15
101 4 -0.25 0.05 -0.45 -0.15
101 5 -0.25 -0.1 -0.5 -0.2
101 6 -0.3 -0.05 -0.5 -0.2
101 7 -0.35 -0.05 -0.5 -0.2
102 0 -0.25 0 -0.35 -0.1
102 1 -0.25 0 -0.4 -0.1
102 2 -0.25 0 -0.4 -0.1
102 3 -0.25 0 -0.4 -0.1
102 4 -0.25 0 -0.4 -0.15
102 5 -0.25 0 -0.45 -0.15
102 6 -0.3 -0.05 -0.45 -0.15
102 7 -0.3 -0.05 -0.5 -0.2
103 0 -0.25 0.1 -0.35 -0.05
103 1 -0.25 0.05 -0.35 -0.1
103 2 -0.25 0.05 -0.4 -0.1
103 3 -0.25 0.05 -0.4 -0.1
103 4 -0.25 0.05 -0.45 -0.05
103 5 -0.25 0.05 -0.45 -0.1
103 6 -0.3 0.05 -0.5 -0.15
103 7 -0.3 0.1 -0.5 -0.15
104 0 -0.25 0.1 -0.3 -0.1
104 1 -0.25 0.1 -0.35 -0.1
104 2 -0.25 0.1 -0.35 -0.1
104 3 -0.25 0.1 -0.35 -0.1
104 4 -0.25 0.1 -0.4 -0.1
104 5 -0.25 0.15 -0.4 -0.15
104 6 -0.25 0.15 -0.4 -0.15
104 7 -0.25 0.25 -0.5 -0.15
105 0 -0.2 0.15 -0.3 -0.05
105 1 -0.2 0.25 -0.3 -0.05
105 2 -0.2 0.15 -0.35 -0.05
105 3 -0.2 0.15 -0.35 -0.1
105 4 -0.2 0.2 -0.35 -0.1
105 5 -0.2 0.2 -0.4 -0.1
105 6 -0.2 0.3 -0.4 -0.15
105 7 -0.2 0.3 -0.4 -0.15
106 0 -0.1 0.25 -0.3 -0.05
106 1 -0.15 0.2 -0.35 -0.05
106 2 -0.15 0.25 -0.35 -0.1
106 3 -0.15 0.25 -0.35 -0.1
106 4 -0.1 0.25 -0.4 -0.1
106 5 -0.15 0.25 -0.4 -0.1
106 6 -0.15 0.3 -0.45 -0.1
106 7 -0.15 0.35 -0.45 -0.1
107 0 -0.05 0.25 -0.3 -0.05
107 1 -0.05 0.25 -0.3 -0.05
107 2 -0.1 0.25 -0.35 -0.05
107 3 -0.1 0.25 -0.35 -0.1
107 4 -0.05 0.25 -0.4 -0.1
107 5 -0.1 0.25 -0.4 -0.1
107 6 -0.1 0.3 -0.45 -0.1
107 7 -0.05 0.35 -0.4 -0.1
108 0 0 0.25 -0.3 0
108 1 0 0.25 -0.3 0
108 2 0 0.25 -0.35 0
108 3 0 0.25 -0.35 0
108 4 0 0.25 -0.35 -0.05
108 5 0 0.25 -0.35 -0.1
108 6 0 0.35 -0.4 0
108 7 0 0.35 -0.4 -0.1
109 0 nan nan nan nan
109 1 nan nan nan nan
109 2 nan nan nan nan
109 3 nan nan nan nan
109 4 nan nan nan nan
109 5 nan nan nan nan
109 6 nan nan nan nan
109 7 nan nan nan nan
110 0 0.1 0.25 -0.4 -0.2
110 1 0.1 0.25 -0.4 -0.2
110 2 nan nan nan nan
110 3 -0.25 -0.05 0.5 0.65
110 4 nan nan nan nan
110 5 nan nan nan nan
110 6 0.15 0.3 -0.5 -0.3
110 7 0.15 0.3 -0.5 -0.3
111 0 -0.25 -0.1 -0.3 0
111 1 -0.25 -0.1 -0.3 0
111 2 -0.25 -0.1 -0.3 0
111 3 -0.25 -0.1 -0.35 -0.05
111 4 -0.25 -0.1 -0.35 -0.05
111 5 -0.25 -0.1 -0.4 -0.05
111 6 -0.3 -0.1 -0.4 -0.05
111 7 -0.35 -0.1 -0.4 -0.1
112 0 -0.25 0 -0.3 0
112 1 -0.25 0 -0.3 0
112 2 -0.25 0 -0.3 -0.05
112 3 -0.25 0 -0.35 -0.05
112 4 -0.25 0 -0.35 -0.05
112 5 -0.25 0 -0.4 -0.05
112 6 -0.3 0.05 -0.4 -0.1
112 7 -0.3 0 -0.4 -0.1
113 0 -0.25 0.05 -0.25 0
113 1 -0.25 0.05 -0.25 0.05
113 2 -0.25 0.05 -0.3 0
113 3 -0.25 0.1 -0.3 -0.05
113 4 -0.25 0.1 -0.35 0
113 5 -0.25 0.1 -0.35 0
113 6 -0.3 0.1 -0.35 0.05
113 7 -0.3 0.05 -0.4 -0.05
114 0 -0.25 0.1 -0.25 0
114 1 -0.25 0.1 -0.3 -0.05
114 2 -0.25 0.1 -0.3 -0.05
114 3 -0.25 0.1 -0.3 -0.05
114 4 -0.25 0.1 -0.3 -0.05
114 5 -0.25 0.15 -0.35 -0.05
114 6 -0.3 0.15 -0.35 -0.05
114 7 -0.3 0.15 -0.35 -0.1
115 0 -0.2 0.15 -0.25 0
115 1 -0.2 0.15 -0.25 -0.05
115 2 -0.2 0.15 -0.3 -0.05
115 3 -0.2 0.2 -0.3 -0.05
115 4 -0.2 0.2 -0.3 -0.05
115 5 -0.2 0.2 -0.35 -0.05
115 6 -0.2 0.2 -0.35 -0.1
115 7 -0.2 0.2 -0.35 -0.05
116 0 -0.15 0.25 -0.25 0
116 1 -0.15 0.25 -0.25 0
116 2 -0.15 0.2 -0.25 0
116 3 -0.15 0.25 -0.3 0
116 4 -0.15 0.25 -0.3 0.05
116 5 -0.2 0.25 -0.3 -0.05
116 6 -0.15 0.35 -0.35 -0.1
116 7 -0.15 0.3 -0.35 -0.1
117 0 -0.1 0.25 -0.25 0
117 1 -0.05 0.25 -0.25 -0.05
117 2 -0.05 0.25 -0.3 0
117 3 -0.1 0.25 -0.3 0
117 4 -0.05 0.25 -0.3 0
117 5 -0.1 0.25 -0.35 -0.05
117 6 -0.1 0.3 -0.3 -0.05
117 7 -0.15 0.35 -0.35 -0.1
118 0 -0.05 0.25 -0.25 0.05
118 1 0 0.25 -0.3 0
118 2 0 0.25 -0.3 0
118 3 -0.05 0.25 -0.3 0
118 4 0 0.25 -0.3 0
118 5 0 0.25 -0.3 0
118 6 0 0.35 -0.35 -0.05
118 7 0 0.35 -0.45 0
119 0 nan nan nan nan
119 1 nan nan nan nan
119 2 nan nan nan nan
119 3 nan nan nan nan
119 4 nan nan nan nan
119 5 nan nan nan nan
119 6 nan nan nan nan
119 7 nan nan nan nan
120 0 0.1 0.25 -0.25 0
120 1 -0.2 -0.05 0.4 0.65
120 2 -0.2 -0.05 0.45 0.65
120 3 -0.25 -0.1 -0.1 0.1
120 4 -0.25 -0.1 -0.2 0
120 5 0.1 0.25 -0.45 -0.25
120 6 0.15 0.3 -0.3 -0.05
120 7 -0.3 -0.15 -0.3 -0.1
121 0 -0.25 -0.05 -0.2 0.05
121 1 -0.25 -0.05 -0.2 0.05
121 2 -0.25 -0.05 -0.25 0.05
121 3 -0.25 -0.1 -0.25 0.05
121 4 -0.25 -0.1 -0.25 0.05
121 5 -0.25 -0.1 -0.25 0
121 6 -0.3 -0.1 -0.25 0
121 7 -0.3 -0.1 -0.3 0.05
122 0 -0.25 0 -0.2 0.05
122 1 -0.25 0 -0.2 0.05
122 2 -0.25 0 -0.2 0.1
122 3 -0.25 0 -0.25 0.05
122 4 -0.25 0 -0.25 0.05
122 5 -0.25 0 -0.25 0.05
122 6 -0.3 0 -0.25 0.05
122 7 -0.35 0 -0.3 0
123 0 -0.25 0.05 -0.2 0.05
123 1 -0.25 0.05 -0.2 0.05
123 2 -0.25 0.05 -0.2 0.05
123 3 -0.25 0.05 -0.25 0.05
123 4 -0.25 0.05 -0.25 0.05
123 5 -0.25 0.1 -0.25 0.1
123 6 -0.35 0.05 -0.3 0
123 7 -0.3 0.05 -0.3 0
124 0 -0.25 0.1 -0.2 0.05
124 1 -0.25 0.15 -0.25 0.1
124 2 -0.25 0.15 -0.25 0
124 3 -0.25 0.15 -0.3 0
124 4 -0.25 0.15 -0.3 0
124 5 -0.25 0.15 -0.25 0
124 6 -0.3 0.2 -0.3 0.05
124 7 -0.3 0.2 -0.3 0
125 0 -0.2 0.15 -0.2 0.05
125 1 -0.2 0.15 -0.2 0.05
125 2 -0.2 0.2 -0.3 0.05
125 3 -0.2 0.2 -0.3 0
125 4 -0.2 0.2 -0.3 0
125 5 -0.2 0.2 -0.3 0
125 6 -0.2 0.2 -0.3 0
125 7 -0.2 0.2 -0.3 0.05
126 0 -0.1 0.2 -0.2 0.05
126 1 -0.1 0.25 -0.2 0.05
126 2 -0.1 0.25 -0.2 0.05
126 3 -0.1 0.25 -0.25 0
126 4 -0.1 0.25 -0.25 0.1
126 5 -0.15 0.25 -0.25 0
126 6 -0.15 0.25 -0.25 0
126 7 -0.15 0.25 -0.3 0.05
127 0 -0.05 0.25 -0.2 0.05
127 1 -0.05 0.25 -0.2 0.05
127 2 -0.05 0.25 -0.2 0.05
127 3 -0.05 0.25 -0.25 0
127 4 -0.05 0.25 -0.25 0
127 5 -0.05 0.25 -0.25 0
127 6 -0.05 0.3 -0.3 0
127 7 -0.05 0.3 -0.3 0.05
128 0 0 0.25 -0.25 0.05
128 1 0 0.25 -0.25 0.05
128 2 0 0.25 -0.25 0.05
128 3 0 0.25 -0.25 0.05
128 4 0 0.25 -0.25 0
128 5 0 0.25 -0.25 0
128 6 0 0.3 -0.3 0
128 7 -0.05 0.35 -0.4 0.05
129 0 nan nan nan nan
129 1 nan nan nan nan
129 2 nan nan nan nan
129 3 nan nan nan nan
129 4 nan nan nan nan
129 5 nan nan nan nan
129 6 nan nan nan nan
129 7 nan nan nan nan
130 0 -0.25 -0.1 -0.1 0.1
130 1 -0.25 -0.1 -0.1 0.1
130 2 -0.25 -0.05 0.45 0.6
130 3 -0.1 0.05 0.45 0.65
130 4 nan nan nan nan
130 5 0.1 0.25 -0.4 -0.2
130 6 -0.3 -0.15 -0.15 0.05
130 7 -0.35 -0.15 -0.15 0.05
131 0 -0.25 -0.05 -0.15 0.15
131 1 -0.25 -0.05 -0.1 0.15
131 2 -0.25 -0.05 -0.15 0.15
131 3 -0.25 0 -0.15 0.15
131 4 -0.25 -0.05 -0.15 0.15
131 5 -0.25 -0.05 -0.15 0.15
131 6 -0.3 -0.05 -0.25 0.1
131 7 -0.35 -0.05 -0.25 0.1
132 0 -0.25 0 -0.15 0.15
132 1 -0.25 0 -0.1 0.1
132 2 -0.25 0 -0.15 0.1
132 3 -0.25 0.05 -0.15 0.1
132 4 -0.25 0 -0.15 0.1
132 5 -0.25 0.05 -0.15 0.1
132 6 -0.3 0 -0.2 0.15
132 7 -0.3 0.05 -0.2 0.1
133 0 -0.25 0.1 -0.15 0.1
133 1 -0.25 0.1 -0.15 0.1
133 2 -0.25 0.05 -0.15 0.1
133 3 -0.25 0.05 -0.15 0.15
133 4 -0.25 0.15 -0.2 0.1
133 5 -0.25 0.1 -0.15 0.1
133 6 -0.3 0.15 -0.2 0.15
133 7 -0.3 0.15 -0.2 0.15
134 0 -0.25 0.1 -0.15 0.1
134 1 -0.25 0.15 -0.15 0.1
134 2 -0.25 0.15 -0.2 0.1
134 3 -0.25 0.15 -0.15 0.1
134 4 -0.25 0.15 -0.2 0.1
134 5 -0.25 0.15 -0.2 0.1
134 6 -0.25 0.2 -0.25 0.1
134 7 -0.25 0.3 -0.3 0.05
135 0 -0.2 0.15 -0.15 0.1
135 1 -0.2 0.2 -0.15 0.1
135 2 -0.2 0.2 -0.15 0.1
135 3 -0.15 0.2 -0.15 0.1
135 4 -0.2 0.2 -0.15 0.1
135 5 -0.2 0.2 -0.2 0.1
135 6 -0.2 0.2 -0.2 0.1
135 7 -0.2 0.2 -0.25 0.05
136 0 -0.1 0.25 -0.15 0.1
136 1 -0.1 0.25 -0.15 0.1
136 2 -0.1 0.25 -0.15 0.1
136 3 -0.15 0.25 -0.2 0.05
136 4 -0.1 0.25 -0.2 0.05
136 5 -0.1 0.25 -0.2 0.05
136 6 -0.1 0.25 -0.25 0.05
136 7 -0.1 0.3 -0.25 0.1
137 0 -0.05 0.25 -0.2 0.1
137 1 -0.05 0.25 -0.2 0.1
137 2 -0.1 0.25 -0.15 0.15
137 3 -0.05 0.25 -0.15 0.15
137 4 -0.05 0.25 -0.25 0.1
137 5 -0.05 0.25 -0.25 0.05
137 6 -0.1 0.3 -0.25 0.05
137 7 -0.1 0.35 -0.2 0.05
138 0 0 0.25 -0.15 0.1
138 1 0 0.25 -0.25 0.1
138 2 0 0.25 -0.25 0.1
138 3 0 0.25 -0.25 0.05
138 4 0 0.25 -0.25 0.05
138 5 0 0.25 -0.25 0.05
138 6 0 0.35 -0.25 0.1
138 7 0 0.35 -0.35 0.1
139 0 nan nan nan nan
139 1 nan nan nan nan
139 2 nan nan nan nan
139 3 nan nan nan nan
139 4 nan nan nan nan
139 5 nan nan nan nan
139 6 nan nan nan nan
139 7 nan nan nan nan
140 0 -0.25 -0.1 -0.05 0.3
140 1 -0.25 -0.1 0 0.3
140 2 -0.25 -0.1 -0.05 0.2
140 3 -0.25 -0.1 0 0.2
140 4 -0.25 -0.1 0 0.2
140 5 -0.25 -0.1 0 0.2
140 6 -0.3 -0.1 -0.05 0.25
140 7 -0.35 -0.1 -0.05 0.25
141 0 -0.25 0 -0.05 0.25
141 1 -0.25 0 -0.05 0.3
141 2 -0.25 0 -0.05 0.25
141 3 -0.25 -0.05 -0.05 0.2
141 4 -0.25 0 -0.1 0.2
141 5 -0.25 0.05 -0.1 0.25
141 6 -0.3 -0.05 -0.1 0.2
141 7 -0.35 -0.05 -0.1 0.2
142 0 -0.25 0.05 -0.05 0.2
142 1 -0.25 0.05 -0.05 0.2
142 2 -0.25 0.05 -0.05 0.2
142 3 -0.25 0.05 -0.1 0.2
142 4 -0.25 0.05 -0.1 0.3
142 5 -0.25 0.05 -0.15 0.15
142 6 -0.3 0.1 -0.15 0.2
142 7 -0.35 0.05 -0.1 0.2
143 0 -0.25 0.1 -0.05 0.2
143 1 -0.25 0.1 -0.1 0.2
143 2 -0.25 0.1 -0.1 0.15
143 3 -0.25 0.1 -0.1 0.15
143 4 -0.25 0.1 -0.1 0.15
143 5 -0.25 0.1 -0.15 0.2
143 6 -0.3 0.15 -0.2 0.25
143 7 -0.3 0.1 -0.1 0.15
144 0 -0.2 0.15 -0.05 0.15
144 1 -0.2 0.15 -0.1 0.15
144 2 -0.2 0.15 -0.15 0.15
144 3 -0.2 0.15 -0.1 0.15
144 4 -0.2 0.15 -0.1 0.2
144 5 -0.2 0.15 -0.1 0.15
144 6 -0.2 0.15 -0.1 0.2
144 7 -0.25 0.15 -0.2 0.15
145 0 -0.15 0.2 -0.1 0.15
145 1 -0.15 0.2 -0.1 0.15
145 2 -0.15 0.2 -0.1 0.15
145 3 -0.15 0.2 -0.15 0.15
145 4 -0.15 0.2 -0.15 0.15
145 5 -0.15 0.2 -0.25 0.2
145 6 -0.2 0.2 -0.15 0.15
145 7 -0.15 0.2 -0.15 0.15
146 0 -0.1 0.25 -0.1 0.15
146 1 -0.1 0.25 -0.1 0.15
146 2 -0.1 0.25 -0.1 0.15
146 3 -0.1 0.25 -0.15 0.2
146 4 -0.1 0.25 -0.15 0.1
146 5 -0.1 0.25 -0.15 0.15
146 6 -0.1 0.25 -0.15 0.1
146 7 -0.15 0.3 -0.2 0.1
147 0 -0.05 0.25 -0.15 0.1
147 1 -0.05 0.25 -0.15 0.15
147 2 -0.05 0.25 -0.15 0.1
147 3 -0.05 0.25 -0.15 0.15
147 4 -0.05 0.25 -0.15 0.1
147 5 -0.05 0.25 -0.2 0.1
147 6 -0.05 0.3 -0.2 0.1
147 7 -0.05 0.3 -0.2 0.1
148 0 0 0.25 -0.25 0.15
148 1 0 0.25 -0.25 0.1
148 2 0 0.25 -0.25 0.1
148 3 0 0.25 -0.25 0.1
148 4 0 0.25 -0.2 0.1
148 5 0 0.25 -0.2 0.15
148 6 0 0.3 -0.15 0.1
148 7 0.05 0.35 -0.35 0.1
149 0 nan nan nan nan
149 1 nan nan nan nan
149 2 nan nan nan nan
149 3 nan nan nan nan
149 4 nan nan nan nan
149 5 nan nan nan nan
149 6 nan nan nan nan
149 7 nan nan nan nan
150 0 -0.25 -0.05 0.05 0.45
150 1 -0.25 -0.05 0.05 0.45
150 2 -0.25 -0.05 0.05 0.45
150 3 -0.25 -0.05 0.05 0.5
150 4 -0.25 0 0.05 0.35
150 5 -0.25 -0.05 0.05 0.35
150 6 -0.3 -0.05 0 0.45
150 7 -0.35 -0.1 0 0.45
151 0 -0.25 0 0.05 0.3
151 1 -0.25 0 0 0.35
151 2 -0.25 0 0 0.4
151 3 -0.25 0 0 0.45
151 4 -0.25 0.05 0 0.45
151 5 -0.25 0 0 0.3
151 6 -0.35 0 0 0.35
151 7 -0.3 0 0 0.3
152 0 -0.25 0.05 0 0.25
152 1 -0.25 0.05 0 0.25
152 2 -0.25 0.05 0 0.3
152 3 -0.25 0.05 0 0.25
152 4 -0.25 0.05 0 0.3
152 5 -0.25 0.05 0 0.25
152 6 -0.3 0.1 0 0.25
152 7 -0.35 0.05 -0.05 0.25
153 0 -0.25 0.1 0 0.25
153 1 -0.25 0.1 -0.05 0.25
153 2 -0.25 0.15 0 0.25
153 3 -0.25 0.15 0 0.25
153 4 -0.25 0.15 -0.1 0.25
153 5 -0.25 0.15 -0.05 0.25
153 6 -0.25 0.15 -0.05 0.25
153 7 -0.3 0.15 -0.05 0.3
154 0 -0.2 0.15 0 0.25
154 1 -0.2 0.15 -0.05 0.25
154 2 -0.2 0.15 -0.05 0.2
154 3 -0.2 0.15 -0.05 0.2
154 4 -0.2 0.15 -0.05 0.25
154 5 -0.2 0.2 -0.15 0.25
154 6 -0.2 0.2 -0.05 0.25
154 7 -0.2 0.2 -0.05 0.2
155 0 -0.1 0.2 -0.05 0.2
155 1 -0.15 0.2 -0.05 0.2
155 2 -0.15 0.25 -0.05 0.2
155 3 -0.15 0.25 -0.05 0.2
155 4 -0.15 0.25 -0.1 0.2
155 5 -0.15 0.25 -0.05 0.2
155 6 -0.15 0.25 -0.1 0.2
155 7 -0.15 0.3 -0.15 0.2
156 0 -0.1 0.25 -0.05 0.2
156 1 -0.1 0.25 -0.05 0.2
156 2 -0.1 0.25 -0.05 0.2
156 3 -0.1 0.25 -0.05 0.2
156 4 -0.1 0.25 -0.1 0.2
156 5 -0.25 0.25 -0.1 0.2
156 6 -0.1 0.3 -0.15 0.15
156 7 -0.1 0.35 -0.1 0.15
157 0 -0.05 0.25 -0.05 0.15
157 1 -0.05 0.25 -0.05 0.15
157 2 -0.05 0.25 -0.2 0.15
157 3 -0.05 0.25 -0.15 0.15
157 4 -0.05 0.25 -0.1 0.15
157 5 -0.05 0.25 -0.1 0.2
157 6 0 0.3 -0.1 0.15
157 7 -0.05 0.3 -0.1 0.15
158 0 0 0.25 -0.15 0.15
158 1 0 0.25 -0.15 0.15
158 2 0 0.25 -0.15 0.15
158 3 0 0.25 -0.15 0.15
158 4 0 0.25 -0.1 0.15
158 5 0.05 0.25 -0.15 0.15
158 6 0.05 0.35 -0.25 0.15
158 7 0.05 0.35 -0.25 0.15
159 0 nan nan nan nan
159 1 nan nan nan nan
159 2 nan nan nan nan
159 3 nan nan nan nan
159 4 nan nan nan nan
159 5 nan nan nan nan
159 6 nan nan nan nan
159 7 nan nan nan nan
160 0 -0.25 0 0.1 0.6
160 1 -0.25 0 0.1 0.6
160 2 -0.25 0 0.1 0.65
160 3 -0.25 0 0.1 0.65
160 4 -0.25 0 0.1 0.65
160 5 -0.25 0 0.15 0.65
160 6 -0.3 0 0.1 0.7
160 7 -0.3 0 0.1 0.55
161 0 -0.25 0.05 0.1 0.35
161 1 -0.25 0.05 0.05 0.35
161 2 -0.25 0.05 0.05 0.35
161 3 -0.25 0.05 0.05 0.35
161 4 -0.25 0.05 0.05 0.5
161 5 -0.25 0.05 0 0.5
161 6 -0.35 0.05 0 0.65
161 7 -0.3 0.05 0 0.5
162 0 -0.25 0.1 0.05 0.35
162 1 -0.25 0.1 0.1 0.4
162 2 -0.25 0.1 0.05 0.35
162 3 -0.25 0.1 0.05 0.35
162 4 -0.25 0.1 0 0.35
162 5 -0.25 0.1 0.05 0.35
162 6 -0.3 0.15 0 0.35
162 7 -0.35 0.15 0.05 0.4
163 0 -0.2 0.15 0.05 0.3
163 1 -0.2 0.15 0.05 0.3
163 2 -0.2 0.15 0.05 0.3
163 3 -0.25 0.15 0.05 0.3
163 4 -0.2 0.15 0 0.3
163 5 -0.25 0.15 0.05 0.3
163 6 -0.25 0.15 0 0.3
163 7 -0.25 0.15 0 0.3
164 0 -0.15 0.2 0.05 0.3
164 1 -0.15 0.2 0 0.3
164 2 -0.15 0.2 0.05 0.3
164 3 -0.15 0.2 -0.05 0.25
164 4 -0.2 0.25 0 0.25
164 5 -0.15 0.2 0 0.25
164 6 -0.2 0.25 -0.05 0.25
164 7 -0.2 0.2 -0.05 0.25
165 0 -0.1 0.25 0 0.25
165 1 -0.1 0.25 0 0.25
165 2 -0.1 0.25 0 0.25
165 3 -0.1 0.25 0 0.25
165 4 -0.1 0.25 0 0.25
165 5 -0.1 0.25 0 0.3
165 6 -0.1 0.25 -0.05 0.3
165 7 -0.1 0.3 -0.05 0.35
166 0 -0.05 0.25 0 0.25
166 1 -0.05 0.25 0 0.25
166 2 -0.1 0.25 0 0.25
166 3 -0.05 0.25 -0.05 0.25
166 4 -0.05 0.25 0 0.25
166 5 -0.05 0.25 -0.05 0.25
166 6 -0.05 0.3 -0.05 0.25
166 7 -0.05 0.3 -0.05 0.25
167 0 -0.05 0.25 -0.1 0.2
167 1 -0.05 0.25 -0.15 0.2
167 2 0 0.25 0 0.2
167 3 -0.05 0.25 -0.05 0.2
167 4 0 0.25 -0.1 0.2
167 5 0 0.25 -0.05 0.2
167 6 0 0.3 -0.2 0.2
167 7 0 0.35 -0.05 0.2
168 0 0.05 0.25 -0.15 0.25
168 1 0.05 0.25 -0.05 0.2
168 2 0.05 0.25 -0.05 0.2
168 3 0.05 0.25 -0.05 0.2
168 4 0.05 0.25 -0.05 0.2
168 5 0.05 0.25 -0.05 0.2
168 6 0.05 0.3 -0.3 0.25
168 7 0.05 0.35 -0.2 0.25
169 0 nan nan nan nan
169 1 nan nan nan nan
169 2 nan nan nan nan
169 3 nan nan nan nan
169 4 nan nan nan nan
169 5 nan nan nan nan
169 6 nan nan nan nan
169 7 nan nan nan nan
170 0 -0.25 0.05 0.2 0.6
170 1 -0.25 0.05 0.2 0.6
170 2 -0.25 0.15 0.2 0.55
170 3 -0.25 0.05 0.2 0.55
170 4 -0.25 0.05 0.2 0.55
170 5 -0.25 0.05 0.2 0.6
170 6 -0.35 0.05 0.2 0.65
170 7 -0.3 0.1 0.2 0.7
